--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
116.910  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
117.581  000.218  000.218: sourcing /home/christopher/.local/share/nvim/lazy/nightfox.nvim/plugin/nightfox.vim
117.584  000.235  000.017: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
117.588  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
117.609  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
118.925  000.053  000.053: require('nvim-ts-autotag._log')
119.010  000.083  000.083: require('nvim-ts-autotag.config.init')
119.228  000.053  000.053: require('nvim-ts-autotag.utils')
119.230  000.103  000.050: require('nvim-ts-autotag.config.ft')
119.232  000.220  000.118: require('nvim-ts-autotag.config.plugin')
119.235  000.570  000.215: require('nvim-ts-autotag.internal')
119.236  001.123  000.553: require('nvim-ts-autotag')
119.248  001.191  000.067: sourcing /home/christopher/.local/share/nvim/lazy/nvim-ts-autotag/plugin/nvim-ts-autotag.lua
119.250  001.206  000.016: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
119.257  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
119.263  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
123.493  000.202  000.202: require('Comment.config')
123.651  000.086  000.086: require('Comment.ft')
123.654  000.159  000.072: require('Comment.utils')
123.710  000.055  000.055: require('Comment.opfunc')
123.766  000.055  000.055: require('Comment.extra')
123.769  002.387  001.916: require('Comment.api')
123.813  002.787  000.400: sourcing /home/christopher/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
123.816  002.803  000.017: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
123.822  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
123.832  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
123.913  000.079  000.079: require('Comment')
125.337  000.789  000.789: require('cmp.utils.api')
125.837  000.176  000.176: require('cmp.types.cmp')
126.076  000.185  000.185: require('cmp.utils.misc')
126.083  000.245  000.060: require('cmp.types.lsp')
126.133  000.049  000.049: require('cmp.types.vim')
126.134  000.796  000.325: require('cmp.types')
126.185  000.050  000.050: require('cmp.utils.highlight')
126.287  000.051  000.051: require('cmp.utils.debug')
126.291  000.105  000.054: require('cmp.utils.autocmd')
